return_id,order_item_id,request_date,days_since_purchase,receipt_flag,item_condition,return_reason,label
46,14760,2024-05-04,12,1,new,Defective,eligible
47,11691,2025-10-11,52,1,new,Wrong item,ineligible
48,13576,2024-09-16,23,1,tried-on,No reason,eligible
49,4020,2024-02-20,39,1,new,Too large,ineligible
50,8627,2025-03-17,49,1,new,Wrong item,ineligible
51,2712,2024-01-16,17,1,new,Too small,eligible
52,12799,2025-09-08,49,0,tried-on,No reason,ineligible
53,12681,2025-04-15,21,1,new,Defective,eligible
54,14977,2024-04-19,2,1,new,Wrong item,eligible
55,2644,2025-02-07,40,1,new,Changed mind,ineligible
56,1872,2025-11-11,3,1,new,Defective,eligible
57,10809,2024-09-04,31,1,new,Too small,ineligible
58,5372,2025-08-17,59,1,tried-on,Wrong item,ineligible
59,6160,2024-03-11,59,1,new,Changed mind,ineligible
60,6540,2024-10-26,57,0,new,Too large,ineligible
61,5784,2024-10-21,54,1,new,Defective,ineligible
62,10490,2025-09-19,6,1,new,Too large,eligible
63,4662,2024-10-20,48,0,new,Wrong item,ineligible
64,11654,2025-10-20,9,1,tried-on,No reason,ineligible
65,2908,2025-10-12,60,1,new,Changed mind,ineligible
66,15139,2024-01-23,56,0,new,Defective,ineligible
67,6322,2024-09-01,51,1,new,Defective,ineligible
68,11701,2024-03-20,2,1,new,Too small,eligible
69,7393,2025-11-19,41,1,new,No reason,ineligible
70,13179,2025-03-26,12,0,tried-on,Defective,needs_review
71,14658,2024-11-15,44,0,new,Defective,ineligible
72,12829,2025-07-13,37,1,new,Too large,ineligible
73,1950,2025-08-31,47,1,new,Too small,ineligible
74,15808,2024-09-08,49,1,tried-on,Changed mind,ineligible
75,13460,2024-08-09,42,1,new,Defective,ineligible
76,5564,2025-10-09,47,1,tried-on,Changed mind,ineligible
77,11745,2025-06-06,17,1,tried-on,Changed mind,eligible
78,13357,2024-03-22,45,1,new,Too large,ineligible
79,3398,2024-05-07,55,1,new,No reason,eligible
80,3544,2025-03-26,37,1,tried-on,Defective,ineligible
81,7682,2024-01-15,8,1,new,No reason,eligible
82,14270,2024-07-14,42,1,worn,Changed mind,ineligible
83,4271,2023-11-30,8,1,new,Wrong item,eligible
84,6853,2024-01-03,55,1,tried-on,Defective,ineligible
85,1376,2025-08-14,40,1,new,Changed mind,ineligible
86,10326,2024-04-26,52,1,tried-on,Too small,ineligible
87,2311,2024-10-22,35,1,new,Wrong item,eligible
88,6635,2024-11-26,51,1,new,Too small,ineligible
89,1456,2024-03-30,59,1,new,No reason,ineligible
90,14556,2025-06-27,11,1,new,Too large,eligible
91,13069,2024-01-05,19,1,new,Too large,eligible
92,15613,2024-10-03,19,1,tried-on,Changed mind,needs_review
93,5252,2024-06-14,53,1,tried-on,Changed mind,ineligible
94,9091,2025-09-21,12,1,new,Changed mind,eligible
95,10203,2025-03-06,15,1,new,Defective,eligible
96,3463,2025-11-23,26,1,new,No reason,ineligible
97,15333,2025-11-09,2,1,tried-on,Too small,eligible
98,11528,2024-01-05,50,0,new,Too small,ineligible
99,7522,2024-06-07,14,1,tried-on,No reason,eligible
100,9968,2024-12-05,53,1,new,Changed mind,ineligible
101,10271,2024-12-12,30,1,new,Too large,ineligible
102,13394,2025-06-11,1,1,new,Too large,eligible
103,1773,2025-01-27,42,1,new,Changed mind,ineligible
104,889,2024-03-12,10,1,new,Changed mind,eligible
105,11639,2024-10-30,19,0,tried-on,Wrong item,ineligible
106,5429,2025-06-25,21,1,new,No reason,needs_review
107,14668,2025-02-26,4,1,new,Too small,eligible
108,7096,2024-10-02,35,1,new,Too large,needs_review
109,15342,2024-07-17,7,1,new,No reason,eligible
110,454,2025-09-18,4,1,tried-on,No reason,eligible
111,12058,2024-12-10,49,1,damaged,Too small,ineligible
112,7148,2025-07-12,1,1,new,Changed mind,eligible
113,3363,2025-05-14,38,1,new,Too small,eligible
114,11449,2024-01-18,33,1,worn,Changed mind,ineligible
115,8955,2024-02-02,39,1,new,Changed mind,ineligible
116,8385,2024-06-13,26,1,new,Defective,ineligible
117,4513,2024-11-01,12,1,new,Changed mind,eligible
118,5223,2024-02-17,3,0,new,Wrong item,needs_review
119,13544,2024-07-30,22,1,worn,No reason,ineligible
120,4584,2025-05-22,0,1,damaged,Changed mind,ineligible
121,6861,2025-04-02,45,1,new,No reason,ineligible
122,3770,2025-09-05,35,1,new,Too large,ineligible
123,15224,2024-05-20,51,1,new,Changed mind,eligible
124,873,2025-03-03,12,1,tried-on,Too small,eligible
125,1387,2024-04-20,4,1,new,No reason,eligible
126,6499,2024-04-12,4,1,tried-on,Too small,eligible
127,13945,2024-03-22,44,1,tried-on,Too small,ineligible
128,13408,2024-05-04,39,1,new,No reason,ineligible
129,10309,2024-10-18,1,1,tried-on,Defective,eligible
130,15791,2024-06-03,50,1,new,Wrong item,ineligible
131,10988,2025-08-03,9,1,new,Too small,eligible
132,10637,2025-03-16,8,0,new,Too large,needs_review
133,11636,2025-09-13,21,1,new,Wrong item,eligible
134,13712,2025-02-19,35,1,new,Too small,ineligible
135,13421,2024-05-11,59,1,new,No reason,ineligible
136,5282,2025-09-29,44,1,damaged,No reason,ineligible
137,15477,2025-08-17,26,1,worn,Wrong item,ineligible
138,15233,2025-07-17,41,1,tried-on,Too small,ineligible
139,2742,2024-03-28,19,1,new,Defective,eligible
140,10337,2025-02-01,49,1,tried-on,Too small,ineligible
141,8211,2024-02-17,51,1,new,No reason,ineligible
142,927,2024-09-20,26,1,new,Wrong item,eligible
143,11351,2024-01-18,8,1,new,No reason,eligible
144,11886,2024-06-18,6,1,worn,Defective,ineligible
145,9479,2024-10-25,16,1,worn,Wrong item,ineligible
146,12326,2024-01-12,3,1,new,Wrong item,eligible
147,4951,2024-01-26,38,1,new,Defective,ineligible
148,8398,2025-12-06,31,1,new,Too large,ineligible
149,4075,2024-10-26,39,1,damaged,Too large,ineligible
150,10301,2024-09-01,33,1,new,Too small,eligible
151,2917,2024-10-18,8,1,damaged,Too large,ineligible
152,2650,2023-12-18,12,1,tried-on,Changed mind,eligible
153,16001,2024-03-14,56,1,tried-on,Too small,ineligible
154,10945,2024-05-16,36,1,tried-on,Too large,eligible
155,8135,2024-10-20,21,1,new,Defective,eligible
156,9133,2025-05-19,38,1,new,Defective,ineligible
157,15205,2024-08-18,19,1,damaged,No reason,ineligible
158,13075,2025-11-26,31,1,new,Defective,needs_review
159,4018,2024-01-12,0,1,worn,Too small,ineligible
160,10060,2024-09-06,53,1,tried-on,Wrong item,ineligible
161,7191,2024-01-04,29,1,new,Wrong item,eligible
162,6010,2024-07-01,45,1,new,Defective,ineligible
163,7140,2025-11-28,40,1,damaged,Defective,ineligible
164,1980,2024-12-26,42,1,worn,No reason,ineligible
165,6522,2025-09-22,13,1,new,No reason,eligible
166,5638,2025-05-26,13,1,tried-on,Too large,ineligible
167,5033,2025-06-21,39,1,new,Too large,ineligible
168,3762,2024-01-21,46,1,new,Defective,ineligible
169,4660,2024-10-18,49,1,new,Too small,ineligible
170,12658,2024-06-09,3,1,worn,Defective,ineligible
171,12649,2024-07-06,28,1,tried-on,No reason,eligible
172,7338,2024-04-08,25,1,new,Changed mind,eligible
173,3140,2025-10-24,27,1,tried-on,Too small,eligible
174,802,2024-07-05,2,1,tried-on,Wrong item,eligible
175,11073,2025-10-15,54,0,new,Too large,ineligible
176,9698,2025-08-26,16,1,new,Too small,eligible
177,5294,2024-12-06,17,1,tried-on,Defective,eligible
178,12766,2024-05-16,13,1,new,Defective,eligible
179,9717,2025-01-01,12,1,new,No reason,eligible
180,14724,2024-04-04,22,1,new,Too large,eligible
181,9694,2024-09-28,54,0,new,Wrong item,ineligible
182,2497,2025-05-31,49,1,new,Too large,ineligible
183,10012,2025-05-04,42,1,new,Changed mind,ineligible
184,8227,2025-05-22,52,1,new,No reason,ineligible
185,5355,2025-01-03,48,1,new,Defective,ineligible
186,13492,2025-03-13,48,1,damaged,Too small,ineligible
187,12158,2025-07-17,39,1,new,Defective,ineligible
188,10982,2024-02-04,29,1,new,Too large,ineligible
189,9129,2025-02-09,38,1,new,Too small,ineligible
190,5051,2024-06-05,59,1,new,No reason,ineligible
191,8154,2024-08-06,51,0,new,No reason,ineligible
192,4915,2025-12-04,33,1,tried-on,Wrong item,ineligible
193,13715,2025-02-19,23,1,tried-on,Too small,eligible
194,11721,2025-07-09,8,1,new,Wrong item,eligible
195,15266,2024-01-14,37,1,new,Wrong item,needs_review
196,10039,2025-10-05,12,1,new,Changed mind,ineligible
197,15278,2025-02-22,6,1,new,Defective,eligible
198,7583,2025-09-30,27,1,new,Wrong item,eligible
199,13106,2024-08-29,44,0,new,Changed mind,ineligible
200,7289,2025-11-21,57,1,new,Wrong item,ineligible
201,1268,2024-01-16,23,1,new,Changed mind,ineligible
202,7114,2025-11-23,22,1,new,Too large,eligible
203,2352,2025-09-20,52,1,tried-on,Too large,ineligible
204,8021,2025-09-01,7,1,tried-on,Too small,eligible
205,1870,2025-12-05,58,1,new,No reason,ineligible
206,5698,2025-07-05,23,1,tried-on,No reason,ineligible
207,10707,2025-02-01,36,1,new,Too large,ineligible
208,13610,2025-07-26,58,0,new,Changed mind,ineligible
209,9692,2025-02-24,6,1,new,Defective,eligible
210,13935,2025-01-26,44,0,new,No reason,ineligible
211,1181,2024-06-09,34,1,new,Changed mind,ineligible
212,9671,2024-03-10,7,1,new,No reason,eligible
213,3480,2025-11-14,17,1,tried-on,Too small,eligible
214,3124,2024-01-17,14,1,new,Wrong item,eligible
215,2320,2024-09-20,31,1,tried-on,Defective,ineligible
216,12868,2025-03-12,51,0,new,Defective,ineligible
217,642,2023-12-23,42,1,tried-on,Defective,ineligible
218,696,2025-06-06,0,1,worn,Wrong item,ineligible
219,12893,2024-09-24,16,1,new,Too small,eligible
220,13594,2025-04-22,12,1,tried-on,No reason,eligible
221,12373,2025-10-04,24,1,new,Too large,ineligible
222,4512,2024-10-25,5,1,new,Wrong item,eligible
223,15610,2025-06-03,30,1,new,Too large,ineligible
224,3881,2025-09-23,57,1,new,Defective,ineligible
225,10647,2024-03-18,7,0,new,Wrong item,needs_review
226,12192,2024-12-21,8,1,new,Defective,eligible
227,6699,2025-05-11,6,1,damaged,Too large,ineligible
228,12242,2024-12-12,40,0,new,Changed mind,ineligible
229,5968,2025-08-17,5,1,worn,Too large,ineligible
230,4736,2025-07-24,9,1,new,Wrong item,eligible
231,7698,2024-09-10,31,0,new,Defective,needs_review
232,14498,2024-12-19,15,1,tried-on,Defective,needs_review
233,6145,2024-06-06,49,1,new,No reason,ineligible
234,4504,2024-05-16,25,1,new,Wrong item,ineligible
235,3000,2025-03-04,7,0,tried-on,Too small,needs_review
236,11767,2024-06-27,25,1,damaged,No reason,ineligible
237,2619,2025-01-08,29,1,new,Wrong item,eligible
238,9923,2025-03-14,34,1,new,Too large,needs_review
239,2282,2025-09-23,8,1,new,No reason,eligible
240,9376,2024-04-29,16,1,tried-on,No reason,needs_review
241,6930,2024-01-19,32,1,new,Changed mind,needs_review
242,2965,2025-03-01,9,1,tried-on,Too small,eligible
243,5735,2025-04-05,19,1,damaged,No reason,ineligible
244,6493,2024-05-21,33,0,new,Defective,needs_review
245,15170,2025-02-27,5,0,worn,Changed mind,ineligible
246,4697,2025-09-08,31,1,new,Defective,needs_review
247,15664,2025-04-06,50,1,new,Too small,ineligible
248,713,2025-04-08,32,1,worn,Changed mind,ineligible
249,9626,2024-09-21,39,1,new,Changed mind,ineligible
250,11557,2025-03-16,29,1,new,No reason,ineligible
251,4966,2025-01-16,27,1,tried-on,No reason,ineligible
252,14795,2024-03-27,23,1,new,Changed mind,eligible
253,8528,2025-08-17,37,1,new,Wrong item,ineligible
254,8592,2024-07-05,37,1,new,Defective,needs_review
255,8427,2025-11-04,57,1,new,Too large,ineligible
256,9789,2025-12-17,45,1,worn,Defective,ineligible
257,5109,2024-01-30,34,0,new,No reason,needs_review
258,14604,2024-11-28,52,1,new,Wrong item,ineligible
259,735,2024-01-12,21,1,new,Too small,eligible
260,5932,2025-02-09,12,1,new,Defective,eligible
261,625,2025-11-28,47,1,new,Too small,ineligible
262,13305,2025-10-17,22,1,new,Changed mind,eligible
263,14354,2024-05-08,50,1,tried-on,Wrong item,ineligible
264,8100,2024-11-16,46,1,new,Defective,ineligible
265,669,2024-02-27,58,1,new,Wrong item,ineligible
266,9741,2024-02-20,30,0,new,Too large,needs_review
267,11667,2025-10-13,47,1,new,Too small,ineligible
268,8694,2025-07-09,6,1,tried-on,Wrong item,eligible
269,14736,2025-04-13,56,1,worn,Defective,ineligible
270,15696,2025-06-02,38,1,new,Changed mind,ineligible
271,11411,2024-10-29,41,0,new,Too large,ineligible
272,6694,2025-10-28,17,1,new,Wrong item,needs_review
273,3915,2024-06-13,24,1,new,Wrong item,ineligible
274,4850,2025-10-27,34,1,tried-on,Wrong item,needs_review
275,4106,2025-08-14,59,1,tried-on,Wrong item,ineligible
276,1239,2024-04-22,22,1,new,Changed mind,eligible
277,3960,2024-12-16,51,1,tried-on,Too large,ineligible
278,15726,2024-03-01,40,1,tried-on,Too small,ineligible
279,5410,2025-01-25,30,0,tried-on,Too large,ineligible
280,12274,2025-10-19,22,1,new,Changed mind,eligible
281,1095,2025-12-01,29,0,tried-on,Too small,needs_review
282,6991,2025-01-13,8,1,tried-on,Too large,eligible
283,10350,2025-10-26,46,0,tried-on,Defective,ineligible
284,2238,2024-05-04,26,1,tried-on,Changed mind,eligible
285,11167,2025-09-18,33,1,tried-on,Too large,needs_review
286,3904,2024-11-19,43,1,new,Too small,ineligible
287,11556,2025-03-31,44,1,new,No reason,ineligible
288,15939,2024-03-23,28,1,new,Too small,eligible
289,6000,2025-01-09,47,1,new,Too large,ineligible
290,5174,2025-06-08,37,1,tried-on,No reason,ineligible
291,3370,2025-06-10,49,1,tried-on,Defective,ineligible
292,7826,2025-09-21,24,1,new,Too large,eligible
293,39,2024-03-14,42,1,tried-on,Too large,ineligible
294,187,2024-08-11,12,1,worn,Changed mind,ineligible
295,9923,2025-02-18,10,1,new,Wrong item,eligible
296,8517,2024-02-09,15,1,tried-on,Changed mind,needs_review
297,7887,2024-12-10,36,1,new,Too small,eligible
298,1997,2024-01-26,26,1,new,Defective,ineligible
299,5124,2025-06-02,12,1,new,No reason,eligible
300,2540,2024-02-07,13,1,tried-on,No reason,eligible
301,8900,2025-11-06,45,1,new,Too large,ineligible
302,15240,2024-02-15,47,1,new,Wrong item,ineligible
303,8773,2024-10-23,27,1,new,Defective,eligible
304,799,2024-03-14,38,1,new,Wrong item,ineligible
305,8615,2024-07-06,5,1,new,No reason,eligible
306,2760,2024-02-13,18,1,new,Too small,eligible
307,11453,2025-09-12,32,1,tried-on,Too small,ineligible
308,9155,2025-03-23,41,1,new,Too small,eligible
309,15183,2024-09-16,59,1,new,Wrong item,ineligible
310,6412,2025-07-03,46,1,new,Changed mind,ineligible
311,11818,2025-03-19,51,1,new,No reason,ineligible
312,15646,2025-06-18,46,0,new,No reason,ineligible
313,11047,2025-08-24,17,1,new,Defective,eligible
314,1006,2024-06-25,7,1,new,Changed mind,eligible
315,7396,2024-03-02,52,1,new,Too small,ineligible
316,12344,2024-07-11,28,1,new,Changed mind,ineligible
317,9833,2024-10-06,27,1,new,Wrong item,eligible
318,14004,2024-01-01,4,1,tried-on,Wrong item,eligible
319,5610,2024-06-15,18,1,tried-on,Too small,needs_review
320,13565,2023-12-22,18,1,new,Defective,needs_review
321,2160,2025-11-09,8,0,new,Too small,needs_review
322,1310,2024-01-18,39,0,tried-on,Defective,ineligible
323,12831,2025-06-28,22,1,new,No reason,ineligible
324,15585,2024-11-08,29,1,new,Defective,eligible
325,14091,2024-11-25,16,1,new,No reason,eligible
326,6766,2024-08-05,22,1,worn,Changed mind,ineligible
327,9800,2024-10-10,28,1,new,Defective,ineligible
328,3473,2024-05-29,35,1,new,Too small,needs_review
329,7478,2025-10-14,40,1,new,Defective,ineligible
330,14177,2024-11-26,28,1,new,Defective,eligible
331,15975,2025-03-26,9,1,tried-on,No reason,eligible
332,3427,2025-01-29,33,1,new,Too small,needs_review
333,15376,2024-04-08,3,1,new,Defective,eligible
334,6747,2025-09-12,49,1,tried-on,Wrong item,ineligible
335,4220,2024-03-27,4,1,new,No reason,ineligible
336,14614,2025-07-14,34,1,new,Too large,needs_review
337,14546,2025-04-21,14,1,worn,Changed mind,ineligible
338,7552,2025-09-26,3,1,new,Too small,eligible
339,10301,2024-08-30,31,1,new,Wrong item,eligible
340,8289,2025-07-31,58,1,new,Too large,ineligible
341,11474,2024-06-14,44,1,new,Changed mind,ineligible
342,15938,2025-10-09,8,1,new,Changed mind,eligible
343,7636,2024-05-27,16,1,new,No reason,needs_review
344,7798,2025-06-07,3,0,new,Too large,needs_review
345,14767,2025-02-09,60,1,new,Changed mind,ineligible
346,13491,2024-12-19,13,1,worn,Defective,ineligible
347,14189,2025-04-17,9,1,new,Wrong item,eligible
348,781,2024-07-17,40,0,new,Changed mind,ineligible
349,10329,2025-03-20,17,1,new,Too large,eligible
350,7032,2024-05-19,42,1,tried-on,No reason,ineligible
351,1464,2024-08-23,34,1,new,Changed mind,needs_review
352,1134,2025-08-09,16,1,new,Too small,eligible
353,13281,2025-06-11,22,1,new,Changed mind,eligible
354,11893,2024-01-22,48,1,new,Changed mind,ineligible
355,14175,2024-11-17,19,1,new,Wrong item,eligible
356,3683,2024-11-10,44,1,tried-on,Too large,ineligible
357,15683,2025-08-05,12,1,tried-on,Too large,eligible
358,3934,2024-12-18,56,1,new,No reason,ineligible
359,9734,2025-09-08,10,1,tried-on,Too large,ineligible
360,14715,2024-12-11,15,1,new,Wrong item,eligible
361,9357,2024-06-28,26,1,damaged,Defective,ineligible
362,4068,2024-12-12,10,1,new,Defective,eligible
363,9401,2025-09-22,3,1,new,Wrong item,eligible
364,5642,2024-12-02,28,1,new,Too small,eligible
365,3017,2024-10-24,14,1,tried-on,Changed mind,eligible
366,4536,2024-09-17,31,1,new,Too small,ineligible
367,4226,2025-02-18,11,1,new,Changed mind,eligible
368,847,2025-02-13,56,1,new,Too small,ineligible
369,6407,2025-10-06,53,1,new,No reason,ineligible
370,4278,2025-08-22,10,1,new,No reason,eligible
371,15086,2025-03-19,56,1,new,Defective,ineligible
372,8995,2025-04-27,41,1,new,No reason,ineligible
373,13306,2024-12-10,51,1,new,Too large,ineligible
374,6617,2025-09-11,29,0,worn,Wrong item,ineligible
375,741,2025-05-27,45,1,new,Too large,ineligible
376,14888,2024-06-22,41,0,new,Too large,ineligible
377,12396,2024-08-14,13,1,new,Too small,eligible
378,4499,2024-12-12,27,1,new,No reason,eligible
379,9391,2025-10-23,37,1,tried-on,Defective,ineligible
380,5205,2024-01-14,40,1,new,No reason,ineligible
381,12874,2024-09-12,6,1,tried-on,Too small,eligible
382,15712,2024-08-06,56,1,new,Too large,ineligible
383,5790,2025-03-08,21,1,new,Too large,eligible
384,9106,2024-01-20,8,0,new,Too large,needs_review
385,13914,2023-11-29,10,1,new,Wrong item,eligible
386,14900,2025-04-01,33,1,new,Changed mind,needs_review
387,2722,2024-09-24,30,1,damaged,Changed mind,ineligible
388,8501,2023-12-18,5,1,new,Too small,eligible
389,5603,2025-10-11,44,1,new,Wrong item,ineligible
390,15283,2025-04-20,25,1,damaged,Too large,ineligible
391,13308,2025-03-31,20,1,damaged,No reason,ineligible
392,15999,2024-06-22,4,1,tried-on,Too small,eligible
393,1571,2024-09-12,59,1,new,Defective,ineligible
394,8730,2024-07-24,33,1,new,Defective,ineligible
395,12907,2024-04-17,29,1,new,Wrong item,eligible
396,11614,2025-07-03,55,1,new,Too large,ineligible
397,2753,2024-01-20,41,1,new,Defective,ineligible
398,13931,2025-05-10,40,1,new,Defective,ineligible
399,11165,2024-11-12,13,1,new,Defective,eligible
400,2748,2024-02-19,59,1,new,Wrong item,eligible
401,10323,2024-04-28,42,1,worn,Wrong item,ineligible
402,9330,2024-06-08,4,1,tried-on,Too small,ineligible
403,10055,2025-11-23,39,1,worn,Too large,ineligible
404,11926,2024-10-23,51,0,new,Changed mind,ineligible
405,13295,2025-03-30,60,1,new,Too large,ineligible
406,14281,2025-07-25,59,1,new,Defective,ineligible
407,10775,2025-09-27,38,1,tried-on,No reason,ineligible
408,12386,2024-12-19,59,1,new,No reason,ineligible
409,964,2023-11-29,13,1,new,Wrong item,eligible
410,2002,2024-04-29,55,1,new,Changed mind,ineligible
411,11505,2025-09-13,30,1,new,Wrong item,ineligible
412,4643,2024-10-02,25,1,new,Defective,eligible
413,5377,2024-02-24,44,1,new,Defective,ineligible
414,12127,2024-11-26,18,1,new,Wrong item,eligible
415,9479,2024-11-29,51,1,tried-on,Too large,ineligible
416,14059,2025-06-17,16,1,tried-on,Too large,needs_review
417,4420,2025-09-12,37,1,damaged,Wrong item,ineligible
418,12062,2025-10-22,42,0,new,Wrong item,ineligible
419,11491,2024-08-28,45,1,tried-on,Wrong item,ineligible
420,11132,2025-08-14,45,1,tried-on,Too small,ineligible
421,15671,2025-02-13,55,0,new,Wrong item,ineligible
422,9212,2025-04-30,27,1,new,No reason,eligible
423,8652,2024-01-13,11,1,new,Defective,eligible
424,702,2025-08-06,42,1,new,Too large,ineligible
425,9519,2025-10-30,32,1,new,Defective,ineligible
426,12782,2025-08-15,43,1,new,Changed mind,ineligible
427,6121,2025-08-07,37,0,new,No reason,needs_review
428,5729,2025-03-18,1,1,new,Wrong item,ineligible
429,3244,2024-06-19,57,1,new,Wrong item,ineligible
430,12807,2025-01-14,8,1,new,Changed mind,eligible
431,11233,2024-07-13,25,1,new,Too large,ineligible
432,8548,2024-04-28,36,1,tried-on,Wrong item,needs_review
433,13744,2024-03-29,21,1,new,Too large,needs_review
434,10990,2025-10-18,50,1,new,Too large,ineligible
435,10875,2024-11-25,14,1,new,Too small,eligible
436,9672,2024-03-17,14,1,new,Wrong item,eligible
437,8713,2025-09-14,55,1,tried-on,Too small,ineligible
438,338,2024-10-12,26,1,tried-on,Wrong item,ineligible
439,7154,2025-08-30,16,1,damaged,Changed mind,ineligible
440,5,2025-07-18,5,1,new,Too large,ineligible
441,3295,2024-04-12,23,1,new,Too small,eligible
442,12868,2025-02-03,14,1,new,Wrong item,eligible
443,502,2023-12-02,8,1,tried-on,Too small,eligible
444,12232,2025-03-18,12,1,new,Too small,eligible
445,15771,2024-05-14,13,1,new,Too large,eligible
446,4573,2025-06-26,34,1,new,Too small,ineligible
447,8391,2025-01-02,35,1,new,Changed mind,ineligible
448,576,2025-10-06,14,1,worn,Defective,ineligible
449,625,2025-11-02,21,1,new,No reason,needs_review
450,11575,2024-01-09,35,1,tried-on,Changed mind,ineligible
451,2323,2024-01-15,50,1,worn,Changed mind,ineligible
452,7909,2025-03-20,23,1,new,Too small,ineligible
453,7645,2025-05-08,13,0,new,Changed mind,needs_review
454,880,2024-01-13,17,1,new,Changed mind,needs_review
455,8610,2025-05-23,30,1,new,Wrong item,ineligible
456,3321,2024-07-27,30,1,new,Too large,eligible
457,3532,2024-11-16,9,1,new,Wrong item,eligible
458,6979,2024-12-12,39,1,new,Changed mind,ineligible
459,1965,2024-01-19,54,1,new,Defective,ineligible
460,7501,2025-11-03,7,1,new,Defective,eligible
461,12470,2025-04-24,46,1,tried-on,Defective,ineligible
462,15337,2025-05-17,36,1,new,Wrong item,ineligible
463,9346,2024-07-22,18,1,tried-on,Too large,ineligible
464,244,2024-05-08,16,0,new,Defective,needs_review
465,4176,2024-11-01,19,1,new,Defective,eligible
466,739,2025-05-17,35,1,new,Wrong item,ineligible
467,13109,2023-12-19,6,0,tried-on,Too small,needs_review
468,13101,2024-01-07,42,1,new,No reason,ineligible
469,11641,2024-02-15,46,1,new,Too large,ineligible
470,2296,2024-11-30,29,1,new,Defective,eligible
471,9778,2024-02-25,51,1,new,Changed mind,ineligible
472,2776,2025-08-24,60,0,new,Too small,ineligible
473,6579,2024-10-19,44,1,new,No reason,ineligible
474,13997,2024-11-24,32,1,new,Too small,needs_review
475,8356,2024-06-03,4,1,tried-on,Defective,eligible
476,7714,2025-03-05,16,1,tried-on,Defective,eligible
477,6707,2025-04-04,21,1,tried-on,Defective,eligible
478,6883,2023-12-09,9,1,tried-on,Wrong item,eligible
479,7330,2024-01-10,30,1,tried-on,Wrong item,ineligible
480,4288,2025-09-14,39,1,new,Too small,ineligible
481,11241,2024-05-05,21,1,new,Too large,eligible
482,3042,2024-04-05,35,1,tried-on,Too large,needs_review
483,2983,2024-09-25,18,1,new,Defective,needs_review
484,12514,2024-10-06,60,1,new,No reason,ineligible
485,4702,2024-07-25,0,1,worn,Changed mind,ineligible
486,9808,2025-05-29,26,1,new,Changed mind,eligible
487,10853,2025-01-11,20,1,tried-on,Too small,eligible
488,3009,2025-02-14,51,1,tried-on,Changed mind,ineligible
489,12383,2025-08-01,49,1,new,Wrong item,ineligible
490,13476,2024-02-04,42,0,new,Changed mind,ineligible
491,10124,2024-11-15,28,1,worn,No reason,ineligible
492,231,2024-12-25,26,1,worn,No reason,ineligible
493,7216,2024-10-01,38,1,new,Too large,ineligible
494,7099,2024-03-02,13,0,new,Changed mind,needs_review
495,12628,2024-08-15,17,1,new,No reason,eligible
