brand,category,return_window_days,final_sale,requires_receipt,restock_fee,notes
Chanel,Tops,14,False,True,0.0,Luxury 14-day
Chanel,Dresses,14,False,True,0.0,Luxury 14-day
Chanel,Jeans,14,False,True,0.0,Luxury 14-day
Chanel,Activewear,14,False,True,0.0,Luxury 14-day
Chanel,Outerwear,14,False,True,0.0,Luxury 14-day
Chanel,Footwear,14,False,True,0.0,Luxury 14-day
Chanel,Accessories,14,False,True,0.0,Luxury 14-day
Chanel,Bags,14,False,True,0.0,Luxury 14-day
Chanel,Swimwear,14,False,True,0.0,Luxury 14-day
Chanel,Lingerie,14,False,True,0.0,Luxury 14-day
Chanel,Beauty,14,True,True,0.0,Luxury 14-day
Chanel,Home,14,False,True,0.0,Luxury 14-day
Gucci,Tops,14,False,True,0.0,Luxury 14-day
Gucci,Dresses,14,False,True,0.0,Luxury 14-day
Gucci,Jeans,14,False,True,0.0,Luxury 14-day
Gucci,Activewear,14,False,True,0.0,Luxury 14-day
Gucci,Outerwear,14,False,True,0.0,Luxury 14-day
Gucci,Footwear,14,False,True,0.0,Luxury 14-day
Gucci,Accessories,14,False,True,0.0,Luxury 14-day
Gucci,Bags,14,False,True,0.0,Luxury 14-day
Gucci,Swimwear,14,False,True,0.0,Luxury 14-day
Gucci,Lingerie,14,False,True,0.0,Luxury 14-day
Gucci,Beauty,14,True,True,0.0,Luxury 14-day
Gucci,Home,14,False,True,0.0,Luxury 14-day
Prada,Tops,14,False,True,0.0,Luxury 14-day
Prada,Dresses,14,False,True,0.0,Luxury 14-day
Prada,Jeans,14,False,True,0.0,Luxury 14-day
Prada,Activewear,14,False,True,0.0,Luxury 14-day
Prada,Outerwear,14,False,True,0.0,Luxury 14-day
Prada,Footwear,14,False,True,0.0,Luxury 14-day
Prada,Accessories,14,False,True,0.0,Luxury 14-day
Prada,Bags,14,False,True,0.0,Luxury 14-day
Prada,Swimwear,14,False,True,0.0,Luxury 14-day
Prada,Lingerie,14,False,True,0.0,Luxury 14-day
Prada,Beauty,14,True,True,0.0,Luxury 14-day
Prada,Home,14,False,True,0.0,Luxury 14-day
Loewe,Tops,14,False,True,0.0,Luxury 14-day
Loewe,Dresses,14,False,True,0.0,Luxury 14-day
Loewe,Jeans,14,False,True,0.0,Luxury 14-day
Loewe,Activewear,14,False,True,0.0,Luxury 14-day
Loewe,Outerwear,14,False,True,0.0,Luxury 14-day
Loewe,Footwear,14,False,True,0.0,Luxury 14-day
Loewe,Accessories,14,False,True,0.0,Luxury 14-day
Loewe,Bags,14,False,True,0.0,Luxury 14-day
Loewe,Swimwear,14,False,True,0.0,Luxury 14-day
Loewe,Lingerie,14,False,True,0.0,Luxury 14-day
Loewe,Beauty,14,True,True,0.0,Luxury 14-day
Loewe,Home,14,False,True,0.0,Luxury 14-day
