order_id,customer_id,order_date,channel,payment_method,total_value
64,1298,2025-07-25,store,card,149.93
65,764,2025-08-30,online,paypal,29.04
66,1465,2024-09-06,online,card,303.59
67,1017,2025-06-21,store,giftcard,244.3
68,260,2024-09-29,online,applepay,40.34
69,1225,2024-11-24,store,applepay,81.63
70,648,2025-07-10,store,giftcard,120.51
71,603,2025-06-06,store,giftcard,167.57
72,481,2025-03-07,store,card,71.91
73,494,2024-05-23,online,giftcard,4827.89
74,854,2024-02-04,store,card,181.25
75,804,2025-08-15,online,card,207.18
76,164,2025-01-04,online,paypal,2868.3
77,321,2024-12-20,store,giftcard,208.02
78,1268,2025-05-03,store,paypal,227.58
79,1030,2025-01-31,online,giftcard,999.65
80,847,2025-01-14,store,applepay,86.67
81,416,2024-02-25,store,giftcard,99.53
82,747,2024-12-06,online,paypal,3488.64
83,1122,2023-12-29,store,paypal,124.11
84,1418,2025-02-14,store,paypal,80.28
85,830,2024-03-12,store,card,1311.21
86,1476,2024-07-30,online,giftcard,185.36
87,966,2025-07-29,store,applepay,103.41
88,856,2024-02-17,store,card,43.51
89,573,2023-11-12,online,card,226.52
90,1310,2024-01-18,online,paypal,7203.41
91,265,2024-04-14,online,giftcard,3842.65
92,95,2025-02-17,store,applepay,657.65
93,52,2024-11-05,online,paypal,842.26
94,1468,2024-08-19,store,paypal,133.71
95,1314,2024-04-08,store,giftcard,84.76
96,828,2024-12-26,store,giftcard,3256.8
97,826,2025-02-21,store,paypal,94.56
98,1183,2023-12-26,online,applepay,3308.08
99,720,2025-09-17,store,giftcard,43.34
100,943,2025-06-27,online,card,41.54
101,470,2024-03-06,store,paypal,1568.57
102,418,2023-11-27,store,giftcard,3083.52
103,852,2025-10-21,store,giftcard,61.32
104,826,2023-11-27,store,paypal,5518.41
105,412,2024-07-16,online,card,85.93
106,1114,2025-07-25,online,card,6993.72
107,1337,2024-08-04,store,applepay,110.31
108,42,2024-11-29,store,giftcard,233.7
109,1461,2025-07-23,online,giftcard,219.53
110,745,2024-08-24,online,applepay,684.82
111,1275,2024-02-01,online,applepay,1698.81
112,323,2025-10-10,online,applepay,120.08
113,1116,2024-04-22,online,applepay,201.36
114,876,2025-11-05,online,card,3881.28
115,1374,2024-11-19,online,giftcard,149.19
116,994,2024-02-04,online,card,1473.77
117,1343,2025-01-04,online,paypal,24.18
118,647,2024-02-01,store,applepay,156.24
119,42,2024-10-21,store,paypal,1381.16
120,869,2024-03-05,online,paypal,5005.18
121,1305,2024-12-28,online,paypal,236.26
122,1074,2024-01-15,store,paypal,11056.11
123,583,2025-10-07,online,paypal,116.84
124,1188,2025-07-09,store,applepay,1606.18
125,1011,2025-10-26,store,applepay,123.38
126,638,2025-03-09,online,giftcard,105.67
127,843,2024-02-24,online,giftcard,831.43
128,378,2024-05-10,online,paypal,119.14
129,1364,2025-01-11,online,giftcard,218.48
130,785,2024-02-01,online,applepay,20.0
131,916,2025-10-24,online,applepay,2110.93
132,943,2025-07-14,store,paypal,80.41
133,1464,2024-03-28,online,applepay,92.35
134,498,2024-01-22,online,card,2436.02
135,46,2024-12-30,online,giftcard,218.84
136,1378,2024-12-25,store,card,836.91
137,340,2025-08-16,online,paypal,99.93
138,1036,2024-11-06,online,paypal,894.11
139,1062,2025-02-15,online,applepay,41.58
140,1365,2024-01-16,online,applepay,2354.77
141,1185,2025-09-30,store,paypal,94.55
142,1079,2024-04-05,online,giftcard,2540.25
143,427,2025-09-05,store,applepay,17.32
144,209,2024-09-19,online,giftcard,348.59
145,383,2024-06-13,online,giftcard,134.73
146,120,2025-06-30,online,paypal,65.31
147,1066,2024-12-03,store,giftcard,62.11
148,702,2025-03-11,online,applepay,123.65
149,814,2024-06-29,online,giftcard,1835.8
150,409,2024-04-11,store,card,119.93
151,993,2025-06-24,store,card,1023.05
152,303,2024-08-31,online,paypal,102.41
153,464,2024-08-23,online,applepay,61.27
154,1498,2024-11-24,store,giftcard,179.94
155,1179,2024-03-05,store,card,71.83
156,927,2025-02-04,store,paypal,83.86
157,1371,2024-10-10,store,card,4019.19
158,1327,2025-01-24,store,card,201.58
159,317,2024-12-31,online,paypal,1734.24
160,154,2024-09-16,online,card,176.05
161,439,2025-06-10,store,applepay,113.54
162,169,2025-04-24,online,paypal,2804.71
163,420,2023-12-04,online,paypal,71.8
164,682,2024-10-23,store,giftcard,1629.5
165,785,2024-05-07,store,applepay,5441.6
166,824,2024-08-28,online,applepay,34.52
167,543,2024-04-25,store,giftcard,41.41
168,213,2024-03-12,online,giftcard,49.74
169,877,2025-06-08,store,paypal,62.05
170,1239,2023-12-10,online,card,90.31
171,344,2024-05-15,store,card,1938.86
172,389,2023-11-14,online,card,1650.47
173,515,2024-09-29,store,card,1135.7
174,578,2024-04-23,online,card,177.8
175,1363,2025-07-28,store,paypal,245.78
176,1155,2025-07-07,store,paypal,77.85
177,656,2025-10-11,online,applepay,163.88
178,1477,2024-01-01,store,applepay,6533.28
179,528,2024-02-21,store,paypal,98.35
180,159,2024-04-16,online,paypal,192.7
181,1076,2024-07-31,online,paypal,64.45
182,1306,2024-07-28,store,applepay,3697.18
183,578,2025-06-12,online,paypal,66.52
184,683,2024-09-24,online,card,155.83
185,288,2024-07-02,online,card,171.05
186,1147,2024-03-07,store,applepay,699.46
187,82,2025-04-17,online,applepay,60.5
188,1065,2024-09-23,store,applepay,308.25
189,17,2024-07-10,store,giftcard,26.13
190,1133,2025-03-12,store,card,2577.69
191,1306,2024-05-29,online,paypal,2755.37
192,1447,2024-10-31,store,giftcard,222.87
193,639,2024-05-23,store,card,110.24
194,947,2024-04-27,store,paypal,895.73
195,75,2024-11-19,store,paypal,141.54
196,892,2024-03-12,store,giftcard,68.63
197,1338,2025-06-17,store,paypal,203.54
198,26,2024-08-28,online,applepay,122.1
199,834,2024-04-23,online,giftcard,264.31
200,1085,2024-01-13,store,applepay,86.67
201,822,2025-03-09,online,giftcard,22.75
202,1176,2024-10-11,online,card,443.44
203,443,2025-08-12,online,paypal,111.31
204,489,2025-02-23,online,card,53.05
205,386,2025-08-14,store,giftcard,1476.54
206,866,2024-09-10,online,card,67.65
207,1379,2024-11-06,store,applepay,280.8
208,402,2025-04-26,online,applepay,5069.32
209,413,2025-09-25,store,card,332.78
210,752,2024-10-17,store,giftcard,238.42
211,159,2025-03-04,store,paypal,6292.91
212,1360,2024-07-13,store,card,1990.93
213,1190,2025-04-28,store,applepay,56.37
214,1045,2025-09-14,online,giftcard,1433.4
215,85,2025-07-18,online,card,302.36
216,562,2025-02-15,store,giftcard,228.93
217,652,2024-03-11,store,applepay,222.26
218,778,2025-09-14,store,paypal,3133.42
219,1141,2023-12-31,store,applepay,211.4
220,739,2025-04-08,online,giftcard,196.77
221,1293,2024-06-24,online,giftcard,400.71
222,1255,2024-01-21,store,applepay,815.38
223,1318,2025-07-09,store,card,87.3
224,265,2024-03-28,store,giftcard,92.51
225,400,2025-01-13,store,paypal,2496.19
226,1114,2024-04-19,store,paypal,5088.03
227,5,2025-04-17,store,giftcard,67.5
228,655,2025-01-28,online,applepay,134.07
229,580,2024-08-12,online,applepay,30.87
230,1377,2023-11-27,online,card,85.14
231,795,2024-12-18,store,paypal,44.59
232,1093,2025-04-15,store,card,97.52
233,718,2025-08-31,store,giftcard,134.88
234,1286,2025-08-05,store,applepay,144.54
235,18,2024-02-07,store,paypal,150.76
236,30,2025-04-03,online,applepay,24.35
237,1494,2025-11-05,store,giftcard,149.09
238,16,2025-03-22,online,giftcard,305.49
239,251,2025-01-21,online,applepay,164.81
240,1361,2024-08-25,online,applepay,3144.93
241,439,2024-09-30,store,giftcard,246.12
242,602,2023-11-24,store,giftcard,245.52
243,434,2025-09-15,online,paypal,42.8
244,818,2025-05-26,store,applepay,1325.67
245,434,2025-10-17,store,card,2347.76
246,667,2025-04-03,online,applepay,89.89
247,631,2025-01-28,store,applepay,309.26
248,1157,2025-03-12,online,card,1640.18
249,673,2024-10-03,online,paypal,1258.3
250,1298,2024-03-06,store,applepay,133.26
251,1362,2024-09-29,store,applepay,89.73
252,1371,2025-07-28,store,paypal,4489.22
253,897,2024-07-15,store,giftcard,3300.92
254,1094,2025-03-20,online,giftcard,94.24
255,905,2024-01-02,store,paypal,2603.45
256,423,2024-02-18,store,card,188.18
257,1382,2024-06-17,store,giftcard,5594.77
258,382,2024-12-26,online,paypal,58.13
259,405,2024-02-04,store,card,68.44
260,640,2025-06-16,online,card,7525.08
261,603,2024-04-16,online,paypal,779.06
262,1407,2025-03-19,store,card,655.66
263,643,2025-03-23,online,paypal,104.87
264,815,2024-09-01,store,paypal,2330.86
265,804,2023-11-22,store,card,184.54
266,1353,2024-10-17,online,giftcard,52.74
267,754,2024-10-14,online,card,23.48
268,686,2025-05-13,store,giftcard,2210.49
269,159,2024-07-08,online,applepay,98.34
270,1341,2023-12-04,online,card,2841.32
271,145,2024-06-24,store,paypal,211.54
272,826,2023-11-09,store,giftcard,2483.79
273,1257,2023-12-06,online,giftcard,58.85
274,607,2024-12-25,online,giftcard,96.65
275,778,2023-11-24,online,card,163.24
276,289,2025-03-15,store,applepay,49.59
277,294,2025-07-22,online,paypal,3548.94
278,1385,2024-04-14,online,paypal,148.34
279,890,2025-09-22,store,card,2441.27
280,743,2025-07-06,store,giftcard,154.37
281,964,2023-12-19,online,giftcard,82.81
282,223,2025-06-03,online,card,1102.79
283,357,2025-03-21,store,applepay,78.83
284,350,2024-05-02,store,applepay,3547.94
285,691,2024-05-03,store,applepay,92.04
286,1178,2023-12-03,online,paypal,75.41
287,909,2025-03-01,online,paypal,2721.6
288,1168,2023-12-09,store,card,2970.89
289,737,2024-05-06,online,giftcard,4052.59
290,24,2024-05-30,online,giftcard,105.11
291,381,2024-12-23,online,card,63.51
292,1322,2024-06-24,store,card,15.01
293,1191,2025-06-30,store,card,10.0
294,1168,2024-03-18,store,card,101.0
295,104,2025-04-09,store,paypal,203.82
296,66,2024-03-18,online,card,5315.13
297,905,2025-07-03,online,giftcard,3738.6
298,1177,2025-08-13,store,paypal,198.05
299,722,2024-07-19,store,paypal,133.06
300,1458,2025-08-01,online,applepay,159.66
301,929,2024-05-06,store,card,7.83
302,1231,2024-03-01,store,applepay,2516.08
303,1388,2024-02-18,online,card,80.62
304,1456,2025-10-12,online,card,6082.05
305,99,2024-07-11,online,card,155.34
306,1264,2025-09-26,store,applepay,249.24
307,1121,2024-09-13,store,applepay,193.9
308,203,2024-12-18,store,giftcard,174.74
309,897,2025-03-03,online,applepay,33.62
310,995,2025-10-27,online,card,895.71
311,225,2023-12-01,online,applepay,159.7
312,495,2023-11-11,store,card,126.59
313,1419,2024-09-20,store,applepay,230.98
314,1354,2025-10-12,online,applepay,168.62
315,873,2025-09-06,store,giftcard,164.19
316,220,2024-11-18,online,paypal,77.94
317,447,2025-06-08,online,paypal,140.19
318,201,2025-08-31,online,paypal,56.66
319,459,2024-06-05,online,applepay,256.78
320,1284,2025-07-16,store,paypal,17.36
321,481,2024-01-02,store,applepay,237.06
322,1346,2025-01-23,store,paypal,24.17
323,1221,2024-04-13,store,paypal,2551.1
324,727,2025-03-10,online,paypal,85.0
325,1484,2023-12-31,online,card,20.8
326,157,2025-01-19,online,paypal,138.47
327,1158,2024-11-04,store,paypal,109.5
328,199,2023-11-10,online,applepay,16.28
329,721,2023-11-25,online,paypal,1582.33
330,470,2025-05-08,store,paypal,310.2
331,658,2024-07-26,online,paypal,151.23
332,30,2024-10-28,store,giftcard,322.17
333,926,2025-07-21,store,applepay,301.41
334,264,2025-08-22,store,paypal,173.29
335,1309,2025-05-31,store,applepay,170.66
336,336,2024-03-05,store,card,46.62
337,430,2025-07-14,online,paypal,1575.67
338,942,2025-06-06,online,giftcard,86.87
339,1367,2024-09-06,store,paypal,43.41
340,303,2024-09-26,online,giftcard,168.22
341,301,2025-06-25,store,paypal,2816.94
342,889,2024-10-15,store,giftcard,82.54
343,57,2024-10-17,online,card,49.42
344,1148,2025-09-15,store,applepay,949.65
345,755,2024-03-12,store,card,94.72
346,432,2024-04-26,online,applepay,193.8
347,1358,2025-03-07,store,paypal,142.15
348,1409,2024-01-01,store,paypal,47.97
349,473,2025-05-05,online,applepay,97.44
350,876,2025-09-25,store,applepay,86.03
351,116,2024-10-12,store,giftcard,21.69
352,493,2024-07-26,store,applepay,72.61
353,753,2024-07-23,online,paypal,906.7
354,1245,2025-02-09,store,card,3623.58
355,122,2024-06-10,store,applepay,3465.83
356,386,2025-09-04,store,giftcard,148.4
357,514,2025-04-01,store,applepay,592.53
358,247,2025-10-10,store,paypal,84.14
359,628,2024-09-03,store,paypal,194.89
360,145,2024-09-01,store,paypal,57.75
361,277,2023-12-26,online,card,18.64
362,1236,2023-12-22,online,paypal,178.9
363,1130,2024-08-10,online,card,108.6
364,1106,2025-04-12,online,applepay,3024.5
365,992,2025-04-11,store,paypal,769.69
366,1376,2025-02-05,online,paypal,156.62
367,790,2024-01-31,store,applepay,258.68
368,1008,2025-10-14,store,applepay,205.33
369,6,2024-06-05,online,card,135.17
370,779,2024-11-29,store,paypal,76.41
371,515,2025-03-27,store,paypal,159.38
372,1219,2025-10-08,store,giftcard,23.16
373,985,2025-10-14,online,paypal,152.3
374,1449,2025-06-22,online,giftcard,150.49
375,1345,2024-07-24,store,applepay,56.19
376,500,2024-09-21,online,applepay,66.81
377,1,2024-04-24,online,giftcard,87.42
378,878,2024-09-29,online,applepay,234.07
379,825,2025-04-25,store,applepay,34.71
380,613,2023-12-14,online,applepay,4078.3
381,1416,2025-02-23,online,applepay,727.51
382,155,2025-07-09,online,paypal,2187.06
383,1431,2024-06-07,store,applepay,182.56
384,710,2024-01-01,online,card,3832.22
385,56,2024-10-12,store,card,36.44
386,373,2024-11-18,store,giftcard,94.8
387,1452,2025-08-04,store,card,2842.0
388,1393,2024-06-26,store,paypal,2277.49
389,140,2025-07-25,online,applepay,8.04
390,1324,2025-05-12,store,applepay,75.42
391,696,2024-05-14,online,paypal,240.14
392,44,2025-09-24,store,applepay,149.97
393,1288,2024-02-05,online,giftcard,167.7
394,1174,2024-09-04,online,card,109.34
395,83,2024-07-03,store,paypal,188.87
396,9,2025-04-26,online,giftcard,146.5
397,1276,2025-01-22,online,paypal,195.0
398,437,2025-10-18,online,applepay,4144.19
399,612,2024-12-04,online,card,2094.15
400,865,2025-04-28,store,card,134.37
401,589,2024-09-05,store,applepay,2505.81
402,863,2025-01-26,online,card,3374.93
403,539,2025-05-26,store,card,60.82
404,720,2025-01-22,store,paypal,74.04
405,1323,2025-05-16,online,giftcard,241.99
406,862,2025-03-14,store,giftcard,73.82
407,53,2024-04-06,online,card,2213.93
408,648,2024-01-17,online,card,1842.19
409,1393,2024-06-11,store,giftcard,126.94
410,927,2024-09-15,online,paypal,797.24
411,1191,2023-12-04,store,paypal,72.6
412,355,2023-11-27,store,applepay,135.87
413,1111,2025-05-07,online,card,45.49
414,22,2025-06-26,store,giftcard,3661.36
415,283,2024-12-19,online,applepay,893.15
416,1155,2025-06-17,online,card,4821.25
417,155,2024-12-15,online,card,231.79
418,87,2025-09-18,online,paypal,41.78
419,547,2025-06-29,online,applepay,1290.72
420,985,2025-08-25,online,card,1773.28
421,1069,2024-05-12,store,giftcard,129.93
422,444,2025-05-28,online,paypal,711.04
423,1117,2024-07-26,online,card,87.41
424,646,2025-05-08,online,paypal,71.46
425,424,2024-12-21,store,paypal,136.62
426,1169,2023-12-01,online,card,102.32
427,1221,2024-02-07,online,applepay,216.9
428,1341,2025-11-08,online,applepay,1098.01
429,1141,2025-02-19,store,card,99.95
430,833,2024-05-19,store,card,1476.91
431,500,2024-08-17,online,giftcard,299.93
432,296,2023-12-27,online,paypal,4679.47
433,1104,2024-10-21,online,applepay,64.78
434,1193,2024-07-23,store,card,882.31
435,1074,2023-12-11,online,paypal,1470.19
436,343,2024-03-02,online,applepay,56.76
437,204,2025-02-26,online,applepay,273.59
438,755,2025-04-07,online,paypal,2713.54
439,494,2024-08-25,store,applepay,57.21
440,1193,2025-09-08,store,giftcard,43.37
441,97,2023-12-17,online,applepay,100.88
442,287,2024-05-12,online,card,3882.81
443,189,2024-10-11,store,card,68.06
444,480,2024-04-15,online,applepay,1847.22
445,1353,2025-06-11,store,applepay,165.7
446,1335,2024-10-31,online,applepay,143.81
447,484,2025-11-08,store,applepay,152.55
448,832,2025-05-29,online,paypal,266.57
449,1441,2024-01-17,store,card,12.71
450,644,2025-07-13,online,paypal,138.82
451,877,2025-06-19,store,paypal,31.14
452,122,2025-04-24,online,paypal,72.65
453,1236,2023-11-10,store,card,5847.52
454,10,2025-08-19,store,paypal,87.36
455,607,2025-10-11,store,paypal,97.21
456,1038,2024-08-25,online,giftcard,40.57
457,623,2024-06-13,online,giftcard,256.05
458,994,2025-04-19,store,paypal,43.13
459,993,2024-11-02,online,paypal,93.6
460,1112,2024-09-21,online,card,108.43
461,1415,2024-02-01,online,applepay,111.73
462,556,2024-03-24,store,card,161.51
463,407,2025-03-26,store,card,1051.8
464,1172,2024-02-11,online,applepay,170.76
465,1290,2025-08-19,store,card,206.83
466,560,2024-06-21,online,card,182.55
467,495,2025-07-06,store,giftcard,302.31
468,426,2025-05-27,online,applepay,5069.59
469,180,2024-12-04,store,giftcard,1567.38
470,19,2025-10-28,online,applepay,168.75
471,828,2024-09-16,online,paypal,849.14
472,1484,2024-08-19,online,card,3442.79
473,720,2023-11-16,online,card,130.74
474,31,2023-12-12,online,paypal,873.3
475,1358,2024-09-07,online,card,177.83
476,1224,2024-04-09,store,paypal,841.83
477,1257,2024-08-07,store,paypal,40.96
478,1096,2024-03-12,store,card,4082.2
479,416,2025-08-31,online,paypal,103.36
480,1469,2024-05-11,online,giftcard,231.78
481,85,2025-03-05,store,applepay,2481.79
482,278,2025-03-07,store,paypal,2039.71
483,308,2025-02-12,store,paypal,140.56
484,634,2025-09-16,store,card,3463.08
485,714,2025-05-10,online,giftcard,208.87
486,1057,2025-02-27,store,applepay,109.14
487,270,2024-02-23,store,card,176.31
488,1192,2025-09-30,store,paypal,2759.5
489,705,2024-08-09,store,giftcard,1677.46
490,629,2024-05-04,store,giftcard,274.52
491,498,2025-10-25,online,applepay,5909.74
492,1341,2024-06-18,online,applepay,27.17
493,384,2024-09-22,online,giftcard,236.46
494,1031,2025-01-08,online,paypal,163.11
495,299,2024-06-14,online,applepay,82.79
496,830,2024-11-30,online,giftcard,155.95
497,636,2025-10-07,online,applepay,3651.13
498,435,2023-12-09,online,paypal,43.62
499,736,2024-03-02,store,paypal,2759.88
500,559,2025-07-05,store,paypal,59.41
501,510,2023-11-18,store,card,167.31
502,942,2024-12-13,store,card,42.21
503,1032,2025-08-18,store,card,172.77
504,346,2025-10-03,store,giftcard,64.75
505,24,2024-03-23,online,paypal,48.24
506,615,2024-11-14,store,applepay,5511.49
507,1428,2024-04-02,store,applepay,86.77
508,1021,2025-03-30,store,applepay,82.66
509,544,2024-08-30,online,applepay,17.79
510,348,2024-07-20,store,giftcard,164.25
511,938,2024-07-22,store,applepay,32.62
512,751,2025-03-13,online,paypal,2698.53
513,1127,2025-11-02,store,card,46.75
514,747,2025-08-26,store,giftcard,286.66
515,36,2025-02-02,online,card,163.84
516,777,2024-02-02,store,paypal,85.64
517,514,2024-01-13,store,giftcard,24.79
518,601,2025-04-27,store,applepay,136.55
519,819,2024-12-28,online,applepay,56.51
520,700,2024-02-07,online,card,255.5
521,349,2024-07-22,online,giftcard,179.54
522,503,2025-01-09,store,card,909.03
523,1052,2024-09-24,store,card,76.24
524,661,2025-02-22,store,giftcard,752.74
525,207,2025-08-29,store,giftcard,2862.05
526,813,2025-01-14,store,paypal,190.73
527,15,2025-10-10,store,paypal,80.57
528,106,2025-02-04,online,paypal,2500.0
529,1383,2024-05-24,online,paypal,218.33
530,1379,2025-02-04,store,card,42.88
531,207,2025-01-09,online,applepay,25.29
532,1038,2023-12-08,online,card,1500.77
533,1072,2024-11-09,online,paypal,135.39
534,40,2024-12-02,online,card,1820.47
535,303,2024-12-25,store,card,116.53
536,608,2023-12-25,online,giftcard,80.09
537,1480,2024-08-17,online,paypal,61.05
538,890,2025-11-02,store,applepay,130.79
539,184,2025-03-15,store,card,190.83
540,1084,2024-11-23,online,applepay,269.71
541,636,2024-06-15,store,giftcard,252.29
542,1001,2025-10-23,online,giftcard,87.76
543,381,2024-03-19,store,card,85.23
544,679,2024-05-08,store,paypal,174.22
545,1402,2025-02-21,online,applepay,114.36
546,1179,2024-11-10,store,applepay,1461.25
547,1286,2024-04-12,online,applepay,86.93
548,311,2024-06-25,online,applepay,46.78
549,1054,2024-07-19,store,applepay,113.5
550,589,2023-12-10,store,card,166.06
551,1113,2025-03-08,online,paypal,32.0
552,239,2024-04-20,online,card,159.0
553,1271,2024-09-16,store,giftcard,3578.46
554,774,2025-01-19,store,paypal,944.68
555,239,2025-04-02,store,applepay,2185.6
556,236,2023-12-29,store,paypal,3775.89
557,40,2024-07-05,store,card,253.54
558,1223,2025-07-24,online,paypal,76.17
559,669,2025-10-23,online,giftcard,3036.9
560,165,2024-03-16,online,giftcard,205.4
561,525,2025-07-14,store,applepay,186.09
562,1120,2024-08-20,online,applepay,86.19
563,669,2025-10-14,store,applepay,3049.26
564,1294,2025-08-01,online,card,57.78
565,281,2025-08-22,online,applepay,60.33
566,177,2024-08-18,store,paypal,97.82
567,690,2025-06-29,store,card,47.26
568,1264,2024-05-18,online,applepay,147.07
569,235,2025-02-07,online,card,43.34
570,1367,2024-09-08,store,paypal,183.51
571,963,2024-04-28,store,giftcard,89.97
572,1278,2024-07-07,store,card,195.66
573,79,2024-10-27,online,applepay,247.61
574,321,2024-04-12,online,giftcard,47.36
575,875,2025-10-14,store,card,4189.37
576,1082,2024-09-08,online,applepay,163.34
577,847,2025-04-23,store,card,5505.81
578,748,2025-08-19,store,paypal,186.97
579,1417,2024-04-24,store,paypal,7653.22
580,18,2024-05-06,store,paypal,7415.76
581,1388,2024-05-08,online,giftcard,3613.27
582,1113,2025-03-31,online,paypal,56.75
583,1392,2025-05-24,store,card,357.14
584,1063,2024-01-24,store,paypal,519.24
585,618,2024-01-10,store,card,114.68
586,616,2025-08-21,store,applepay,185.26
587,1214,2023-11-22,online,paypal,1515.19
588,313,2024-08-03,online,applepay,234.6
589,1439,2024-11-27,online,paypal,75.1
590,434,2023-12-05,store,paypal,183.41
591,989,2025-09-18,online,paypal,7736.43
592,723,2024-04-18,store,giftcard,208.74
593,461,2024-03-11,online,card,192.19
594,241,2025-05-20,store,card,19.78
595,427,2024-02-27,online,giftcard,306.19
596,452,2024-10-30,online,giftcard,2187.72
597,577,2025-03-13,store,paypal,4878.34
598,761,2025-02-22,online,applepay,2334.55
599,309,2025-02-10,store,applepay,2640.68
600,1375,2025-07-11,online,applepay,866.04
601,1401,2023-12-05,online,paypal,2234.18
602,938,2024-11-18,online,card,107.04
603,505,2024-04-08,online,applepay,285.96
604,1425,2024-01-29,store,giftcard,59.83
605,1219,2024-11-06,online,card,212.29
606,856,2024-03-31,online,giftcard,60.79
607,383,2024-12-25,online,giftcard,1028.73
608,897,2024-09-18,store,giftcard,89.47
609,865,2024-07-19,store,card,110.37
610,201,2023-11-13,store,card,229.72
611,1204,2024-12-25,online,applepay,5457.9
612,195,2024-11-09,online,applepay,306.73
613,468,2025-09-18,store,giftcard,17.22
614,549,2024-03-04,online,card,149.24
615,936,2025-03-15,store,paypal,1910.12
616,1172,2024-10-09,online,card,35.0
617,944,2024-02-20,online,giftcard,132.31
618,9,2025-04-10,online,giftcard,42.31
619,316,2024-06-20,online,paypal,1017.72
620,809,2023-12-24,online,card,21382.13
621,455,2023-12-29,store,card,190.02
622,505,2023-11-10,store,giftcard,89.59
623,418,2023-11-22,online,applepay,1525.32
624,753,2025-03-29,store,paypal,6192.67
625,939,2024-09-21,online,paypal,55.61
626,524,2025-04-06,store,card,2081.06
627,522,2024-02-06,store,paypal,193.07
628,702,2025-01-22,store,applepay,214.32
629,352,2024-12-28,store,card,236.19
630,909,2023-12-01,store,card,43.17
631,119,2024-05-06,store,card,208.22
632,1204,2025-02-25,store,card,51.23
633,1178,2025-04-19,store,applepay,110.93
634,83,2024-02-19,online,paypal,1582.66
635,131,2024-12-17,online,applepay,2506.42
636,627,2025-05-20,online,card,3782.07
637,1485,2024-08-17,online,applepay,201.41
638,1186,2025-04-16,store,card,8.89
639,293,2023-12-10,online,applepay,66.05
640,1020,2024-12-11,store,paypal,251.73
641,1394,2025-07-12,online,paypal,6427.31
642,220,2024-11-24,store,applepay,3560.26
643,576,2023-11-23,online,card,36.98
644,230,2024-06-28,store,applepay,111.38
645,1223,2025-02-11,store,applepay,2427.28
646,493,2024-08-02,online,paypal,30.72
647,884,2025-07-09,store,giftcard,42.63
648,704,2024-08-02,store,giftcard,40.73
649,1249,2025-05-15,store,card,306.39
650,965,2025-02-27,online,card,5725.76
651,276,2024-03-21,store,applepay,64.45
652,116,2023-11-16,store,card,180.42
653,839,2024-12-28,online,giftcard,2272.26
654,596,2025-01-03,online,applepay,127.44
655,903,2024-02-16,online,paypal,174.83
